dataset,group,model,cluster,n,covered,width
COSMIC2,5-9,diagonal,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_046.tar.gz,32838,19489,114340.55321465773
COSMIC2,5-9,diagonal,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_075.tar.gz,35887,22778,130326.56091833857
COSMIC2,5-9,diagonal,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_106.tar.gz,40852,26340,151190.65453586
COSMIC2,5-9,diagonal,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_136.tar.gz,40071,25754,146837.74871084973
COSMIC2,5-9,diagonal,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_167.tar.gz,42422,27089,149128.0692006302
COSMIC2,5-9,diagonal,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_197.tar.gz,29932,18321,99856.93961394006
COSMIC2,5-9,diagonal,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_228.tar.gz,37489,22563,124063.56333808611
COSMIC2,5-9,diagonal,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_259.tar.gz,44270,25981,146242.44075850595
COSMIC2,5-9,diagonal,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_289.tar.gz,47444,29352,162484.57840573287
COSMIC2,5-9,diagonal,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_320.tar.gz,45063,28157,155768.22066953662
COSMIC2,5-9,diagonal,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_350.tar.gz,50574,32243,172764.02305455654
COSMIC2,5-9,diagonal,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_015.tar.gz,50508,31871,173278.16470083682
COSMIC2,5-9,diagonal,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_046.tar.gz,47362,30323,162873.16106050994
COSMIC2,5-9,diagonal,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_074.tar.gz,38111,24864,138699.78234614545
COSMIC2,5-9,diagonal,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_105.tar.gz,28812,18424,103223.85944929911
COSMIC2,5-9,diagonal,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_135.tar.gz,52899,33925,191460.06683093027
COSMIC2,5-9,diagonal,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_166.tar.gz,43315,27694,144491.8938674589
COSMIC2,5-9,diagonal,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_196.tar.gz,28967,18292,95268.1818852924
COSMIC2,5-9,diagonal,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_227.tar.gz,35408,22419,116022.45242611195
COSMIC2,5-9,diagonal,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_258.tar.gz,45074,27960,147549.8046457073
COSMIC2,5-9,diagonal,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_288.tar.gz,38214,24303,125843.96796888998
COSMIC2,5-9,diagonal,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_319.tar.gz,32628,20884,105256.47382102422
COSMIC2,5-9,diagonal,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_349.tar.gz,41160,26804,137401.20504736927
COSMIC2,5-9,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_015.tar.gz,35716,23669,122133.31073168389
COSMIC2,5-9,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_046.tar.gz,32838,19894,116998.33852696673
COSMIC2,5-9,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_075.tar.gz,35887,23250,133318.58267145394
COSMIC2,5-9,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_106.tar.gz,40852,26864,154568.5762170411
COSMIC2,5-9,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_136.tar.gz,40071,26260,150200.6886815478
COSMIC2,5-9,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_167.tar.gz,42422,27665,152559.83282591353
COSMIC2,5-9,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_197.tar.gz,29932,18668,102175.12274662522
COSMIC2,5-9,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_228.tar.gz,37489,23040,126916.37961305352
COSMIC2,5-9,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_259.tar.gz,44270,26511,149640.3565164196
COSMIC2,5-9,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_289.tar.gz,47444,29953,166141.20719359608
COSMIC2,5-9,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_320.tar.gz,45063,28756,159239.15924030507
COSMIC2,5-9,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_350.tar.gz,50574,32882,176680.3875917887
COSMIC2,5-9,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_015.tar.gz,50508,32525,177213.19791890853
COSMIC2,5-9,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_046.tar.gz,47362,30906,166582.56145640835
COSMIC2,5-9,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_074.tar.gz,38111,25350,141797.1034231368
COSMIC2,5-9,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_105.tar.gz,28812,18786,105543.64872640239
COSMIC2,5-9,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_135.tar.gz,52899,34586,195811.29074361493
COSMIC2,5-9,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_166.tar.gz,43315,28304,147913.55176322977
COSMIC2,5-9,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_196.tar.gz,28967,18660,97509.52514995149
COSMIC2,5-9,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_227.tar.gz,35408,22907,118721.4191591887
COSMIC2,5-9,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_258.tar.gz,45074,28529,150953.58925538583
COSMIC2,5-9,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_288.tar.gz,38214,24784,128679.25663229854
COSMIC2,5-9,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_319.tar.gz,32628,21286,107670.66011160759
COSMIC2,5-9,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_349.tar.gz,41160,27371,140491.17279769338
COSMIC2,all,diagonal,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_015.tar.gz,75500,50127,591813.8319398701
COSMIC2,all,diagonal,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_046.tar.gz,69438,43384,546765.0776223333
COSMIC2,all,diagonal,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_075.tar.gz,75836,49243,629498.4893466972
COSMIC2,all,diagonal,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_106.tar.gz,86599,56556,710585.0961675327
COSMIC2,all,diagonal,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_136.tar.gz,85040,55958,704152.0373981176
COSMIC2,all,diagonal,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_167.tar.gz,89602,58946,722749.0405752962
COSMIC2,all,diagonal,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_197.tar.gz,63416,41254,494482.0362176431
COSMIC2,all,diagonal,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_228.tar.gz,79540,50500,612490.9603376252
COSMIC2,all,diagonal,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_259.tar.gz,93622,57470,722890.357182642
COSMIC2,all,diagonal,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_289.tar.gz,100617,64524,794210.9332790843
COSMIC2,all,diagonal,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_320.tar.gz,95401,61391,747378.0051960933
COSMIC2,all,diagonal,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_350.tar.gz,107328,70422,834871.3807127755
COSMIC2,all,diagonal,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_015.tar.gz,107012,69862,851574.50532331
COSMIC2,all,diagonal,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_046.tar.gz,100406,66313,813163.5551805581
COSMIC2,all,diagonal,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_074.tar.gz,80712,54105,673542.4234885204
COSMIC2,all,diagonal,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_105.tar.gz,60975,40774,502147.09619304136
COSMIC2,all,diagonal,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_135.tar.gz,112228,75004,931072.7689941298
COSMIC2,all,diagonal,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_166.tar.gz,91713,60595,732283.4186147306
COSMIC2,all,diagonal,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_196.tar.gz,61475,40532,487321.9569684197
COSMIC2,all,diagonal,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_227.tar.gz,75050,49299,587501.8112836096
COSMIC2,all,diagonal,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_258.tar.gz,95708,62113,748096.0906172041
COSMIC2,all,diagonal,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_288.tar.gz,81046,53504,636716.8070319169
COSMIC2,all,diagonal,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_319.tar.gz,69305,45548,527543.9818191517
COSMIC2,all,diagonal,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_349.tar.gz,87380,57999,671864.1527005314
COSMIC2,all,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_015.tar.gz,75500,51104,608501.4668887369
COSMIC2,all,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_046.tar.gz,69438,44224,562206.2557330604
COSMIC2,all,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_075.tar.gz,75836,50210,647141.1549432176
COSMIC2,all,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_106.tar.gz,86599,57651,730638.8174471828
COSMIC2,all,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_136.tar.gz,85040,57046,724038.1829137261
COSMIC2,all,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_167.tar.gz,89602,60168,743209.6557810097
COSMIC2,all,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_197.tar.gz,63416,42009,508469.846844253
COSMIC2,all,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_228.tar.gz,79540,51519,629891.6365153452
COSMIC2,all,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_259.tar.gz,93622,58649,743200.392082867
COSMIC2,all,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_289.tar.gz,100617,65769,816537.2943681541
