dataset,group,model,cluster,n,error,sse
COSMIC2,5-9,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_046.tar.gz,47362,5325.109161274138,195258.74179463182
COSMIC2,5-9,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_074.tar.gz,38111,3676.1966726481014,161700.05104373526
COSMIC2,5-9,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_105.tar.gz,28812,5055.108867016418,139088.31935249767
COSMIC2,5-9,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_135.tar.gz,52899,12488.00718825934,228412.4731147911
COSMIC2,5-9,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_166.tar.gz,43315,5756.881486912689,170866.41256880647
COSMIC2,5-9,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_196.tar.gz,28967,9026.261044472549,114516.29054955396
COSMIC2,5-9,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_227.tar.gz,35408,8743.75552298361,132921.33259714395
COSMIC2,5-9,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_258.tar.gz,45074,10947.348326438865,188923.9006764012
COSMIC2,5-9,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_288.tar.gz,38214,8511.984848595877,149790.54120404884
COSMIC2,5-9,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_319.tar.gz,32628,5376.160567004683,118375.69747361503
COSMIC2,5-9,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_349.tar.gz,41160,10571.312730137965,154638.47953587363
COSMIC2,all,ERA5,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_015.tar.gz,75500,59735.696082634946,2226000.825802282
COSMIC2,all,ERA5,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_046.tar.gz,69438,56083.47413403497,2264518.9727858067
COSMIC2,all,ERA5,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_075.tar.gz,75836,68997.85899783751,2523048.3660941278
COSMIC2,all,ERA5,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_106.tar.gz,86599,67537.0485315996,2687295.638655855
